PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2021,53.25,103.75,1.04,2.21,3.9,4.68,4.9,5.99,6.02,4.12,3.24,2.37,0.91,0.77,3.35
ALLSKY_SFC_SW_DWN,2021,53.25,104.25,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.25,104.75,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.25,105.25,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.25,105.75,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.25,106.25,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.25,106.75,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.25,107.25,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.25,107.75,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.25,108.25,0.78,1.57,2.91,4.72,5.07,5.6,5.36,4.33,3.14,2.15,1.06,0.64,3.12
ALLSKY_SFC_SW_DWN,2021,53.75,102.75,1.04,2.21,3.9,4.68,4.9,5.99,6.02,4.12,3.24,2.37,0.91,0.77,3.35
ALLSKY_SFC_SW_DWN,2021,53.75,103.25,1.04,2.21,3.9,4.68,4.9,5.99,6.02,4.12,3.24,2.37,0.91,0.77,3.35
ALLSKY_SFC_SW_DWN,2021,53.75,103.75,1.04,2.21,3.9,4.68,4.9,5.99,6.02,4.12,3.24,2.37,0.91,0.77,3.35
ALLSKY_SFC_SW_DWN,2021,53.75,104.25,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.75,104.75,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.75,105.25,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.75,105.75,1.08,2.09,3.79,4.92,4.88,5.64,5.68,4.08,3.2,2.32,1.0,0.76,3.29
ALLSKY_SFC_SW_DWN,2021,53.75,106.25,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.75,106.75,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.75,107.25,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.75,107.75,1.03,1.94,3.66,4.84,4.91,5.52,5.52,4.23,3.16,2.23,1.01,0.72,3.24
ALLSKY_SFC_SW_DWN,2021,53.75,108.25,0.78,1.57,2.91,4.72,5.07,5.6,5.36,4.33,3.14,2.15,1.06,0.64,3.12
